schema_version,planner,injected_bias_axis,injected_bias_sign,injected_bias_magnitude,episode_id,seed,trial,correction_axis,correction_direction,correction_magnitude,success,steps,episode_return,elapsed_time_ms,final_object_goal_distance,minimum_gripper_object_distance,object_displacement,progress_to_goal,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,trajectory_path,video_path,probe_environment_steps
1,rule,x,positive,0.145,1,103,1,none,none,0.0,False,500,103.76777475232579,637.637099949643,0.19264108613459566,0.038410597067861346,0.05396843736672291,0.03598123209864526,50,0.1,50,0.025,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\ablation_trajectories\rule\rule_seed103_trial01.jsonl,,0
1,rule,x,positive,0.145,1,103,2,y,positive,0.16,False,500,121.30247932398545,494.27930009551346,0.22860645414485703,0.07941819225125563,2.120891245186817e-05,1.5864088383887864e-05,284,0.568,284,0.142,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\ablation_trajectories\rule\rule_seed103_trial02.jsonl,,0
1,rule,x,positive,0.145,2,107,1,none,none,0.0,False,500,428.0808628990013,582.8556998167187,0.08346665806897478,0.03611047418058722,0.1536346330157256,0.14281751605104354,56,0.112,56,0.028,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\ablation_trajectories\rule\rule_seed107_trial01.jsonl,,0
1,rule,x,positive,0.145,2,107,2,y,positive,0.08,False,500,55.00572467369044,587.9019000567496,0.19859648655750659,0.0630009056071983,0.03222697008703991,0.02768768756251172,61,0.122,61,0.0305,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\ablation_trajectories\rule\rule_seed107_trial02.jsonl,,0
1,rule,x,positive,0.145,3,108,1,none,none,0.0,False,500,317.0842017046811,733.3380000200123,0.27826948795771383,0.04729598153208292,0.009422906106935462,-0.004166205200424378,42,0.084,42,0.021,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\ablation_trajectories\rule\rule_seed108_trial01.jsonl,,0
1,rule,x,positive,0.145,3,108,2,y,positive,0.16,False,500,135.30105861272992,505.29640004970133,0.27409575111292894,0.07966021396733043,1.5571042929528497e-05,7.531644360514456e-06,305,0.61,305,0.1525,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\ablation_trajectories\rule\rule_seed108_trial02.jsonl,,0
1,rule,x,positive,0.145,4,144,1,none,none,0.0,False,500,103.77116277822292,468.5648998711258,0.528797838726978,0.038110404014193106,0.404570464366078,-0.22149764281700945,58,0.116,60,0.03,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\ablation_trajectories\rule\rule_seed144_trial01.jsonl,,0
1,rule,x,positive,0.145,4,144,2,x,positive,0.16,False,500,44.18688259888903,446.71680009923875,0.30730688955177493,0.1898607871039019,1.2830802707822462e-05,-6.693641806332362e-06,0,0.0,0,0.0,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\ablation_trajectories\rule\rule_seed144_trial02.jsonl,,0
1,rule,x,positive,0.145,5,148,1,none,none,0.0,False,500,127.7693019448989,598.681699950248,0.2464877377635583,0.038581940031973155,0.0483316398890067,0.023273149125752846,50,0.1,52,0.026,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\ablation_trajectories\rule\rule_seed148_trial01.jsonl,,0
1,rule,x,positive,0.145,5,148,2,y,positive,0.16,False,500,144.44817920707845,551.6270000953227,0.2697574946648702,0.07651134238181516,2.577398894395066e-05,3.3922244409567703e-06,288,0.576,288,0.144,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\active_probes\ablation_trajectories\rule\rule_seed148_trial02.jsonl,,0
