schema_version,prediction_id,episode_id,selected_skill,predicted_status,observed_status,predicted_progress,observed_progress,status_match,progress_error,observed_class_probability,resonance_class,predicted_accept_probability,observed_accepted
1,acr_episode002_bounded_planar_compensation,2,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,ACCEPTED,,0.18293481980700413,False,,0.3333333333333333,UNRESOLVED,0.3333333333333333,True
1,acr_episode002_independent_stochastic_retry,2,INDEPENDENT_STOCHASTIC_RETRY,INCONCLUSIVE,REJECTED,,0.0,False,,0.3333333333333333,UNRESOLVED,0.3333333333333333,False
1,acr_episode003_bounded_planar_compensation,3,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.18293481980700413,0.24839378734673706,True,0.06545896753973293,0.4899174912401138,SUPPORTED,0.4899174912401138,True
1,acr_episode003_independent_stochastic_retry,3,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.0,0.0,True,0.0,0.4899174912401138,SUPPORTED,0.25504125437994307,False
1,acr_episode004_bounded_planar_compensation,4,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.21542539626681717,0.1200976729940593,True,0.09532772327275787,0.34634724523429217,SUPPORTED,0.34634724523429217,True
1,acr_episode004_independent_stochastic_retry,4,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.0,0.0,True,0.0,0.34634724523429217,SUPPORTED,0.32682637738285386,False
1,acr_episode005_bounded_planar_compensation,5,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,INCONCLUSIVE,0.1838170767477407,0.13488318487749534,False,0.048933891870245355,0.33304191454865495,UNRESOLVED,0.33391617090269016,False
1,acr_episode005_independent_stochastic_retry,5,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.0,-0.023392434703994436,True,0.023392434703994436,0.33391617090269016,SUPPORTED,0.33304191454865495,False
1,acr_episode006_bounded_planar_compensation,6,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.1725970818690706,0.18309794624982842,True,0.010500864380757813,0.5178550751286934,SUPPORTED,0.5178550751286934,True
1,acr_episode006_independent_stochastic_retry,6,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,-0.004426402973274845,0.0,True,0.004426402973274845,0.5909860841537523,SUPPORTED,0.20450695792312382,False
1,acr_episode008_bounded_planar_compensation,8,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.18100394644433807,0.21425178799899924,True,0.03324784155466118,0.5746870193160967,SUPPORTED,0.5746870193160967,True
1,acr_episode008_independent_stochastic_retry,8,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,-0.0034686096683887425,0.0,True,0.0034686096683887425,0.6437236172662821,SUPPORTED,0.17813819136685896,False
1,acr_episode009_bounded_planar_compensation,9,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,REJECTED,0.18440079088155226,-0.004568690009463583,False,0.18896948089101584,0.17186435760099714,CONTRADICTED,0.5987812318269573,False
1,acr_episode009_independent_stochastic_retry,9,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.0,0.0,True,0.0,0.635304946875605,SUPPORTED,0.18234752656219755,False
1,acr_episode010_bounded_planar_compensation,10,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,INCONCLUSIVE,0.15419731138100834,0.080817061459469,False,0.07338024992153934,0.2792563285922623,UNRESOLVED,0.45245794156433317,False
1,acr_episode010_independent_stochastic_retry,10,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,ACCEPTED,-0.005434836832600644,0.13370448982225736,False,0.139139326654858,0.24481985663589775,CONTRADICTED,0.24481985663589775,True
1,acr_episode011_bounded_planar_compensation,11,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.14588096069045492,0.024788819379850065,True,0.12109214131060486,0.4745623362132309,SUPPORTED,0.4745623362132309,True
1,acr_episode011_independent_stochastic_retry,11,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.017564633405952032,0.0,True,0.017564633405952032,0.5249963245116114,SUPPORTED,0.2610201452603037,False
1,acr_episode013_bounded_planar_compensation,13,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.15294403425155786,0.14435859035441367,True,0.00858544389714419,0.5349918276718715,SUPPORTED,0.5349918276718715,True
1,acr_episode013_independent_stochastic_retry,13,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.015272452655509486,0.0,True,0.015272452655509486,0.6172700904237723,SUPPORTED,0.22071902499382923,False
1,acr_episode014_bounded_planar_compensation,14,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,INCONCLUSIVE,0.13761823760506295,0.0058766089861334025,False,0.13174162861892955,0.23454703504797308,UNRESOLVED,0.5316141967566712,False
1,acr_episode014_independent_stochastic_retry,14,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.012880365943580859,0.0,True,0.012880365943580859,0.6391591600068979,SUPPORTED,0.20624888331484348,False
1,acr_episode017_bounded_planar_compensation,17,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.1353413448086071,0.4750922265756649,True,0.3397508817670578,0.44707450412520783,SUPPORTED,0.44707450412520783,True
1,acr_episode017_independent_stochastic_retry,17,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.014728923437444195,0.0,True,0.014728923437444195,0.5296745080842851,SUPPORTED,0.26102036556504143,False
1,acr_episode018_bounded_planar_compensation,18,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.132809281390632,0.17144195644873467,True,0.03863267505810267,0.5254075835795246,SUPPORTED,0.5254075835795246,True
1,acr_episode018_independent_stochastic_retry,18,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.011855938676600323,0.0,True,0.011855938676600323,0.6549502088407202,SUPPORTED,0.19719525541085697,False
1,acr_episode019_bounded_planar_compensation,19,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,INCONCLUSIVE,0.10190147653320797,0.13960485880543833,False,0.03770338227223036,0.29984187720575145,UNRESOLVED,0.48151824250866704,False
1,acr_episode019_independent_stochastic_retry,19,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.014247091386475777,0.0,True,0.014247091386475777,0.5826360431191372,SUPPORTED,0.2323959239864469,False
1,acr_episode021_bounded_planar_compensation,21,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.12173839001773669,0.23690137507920922,True,0.11516298506147253,0.4718172605651282,SUPPORTED,0.4718172605651282,True
1,acr_episode021_independent_stochastic_retry,21,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.01203800432025101,0.0,True,0.01203800432025101,0.6438689181197553,SUPPORTED,0.202308796845222,False
1,acr_episode023_bounded_planar_compensation,23,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.13950432062006438,0.21880288673616174,True,0.07929856611609737,0.5025174933253617,SUPPORTED,0.5025174933253617,True
1,acr_episode023_independent_stochastic_retry,23,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.011814386226330655,0.0,True,0.011814386226330655,0.6457117430732778,SUPPORTED,0.20100901833855872,False
1,acr_episode024_bounded_planar_compensation,24,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,INCONCLUSIVE,0.11710994511362234,0.005573399673571788,False,0.11153654544005055,0.330512898396684,UNRESOLVED,0.4815486678656202,False
1,acr_episode024_independent_stochastic_retry,24,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.011415007680774709,0.0,True,0.011415007680774709,0.6514032255139112,SUPPORTED,0.19765600851848278,False
1,acr_episode027_bounded_planar_compensation,27,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.1078273078286299,0.12713131149574716,True,0.019304003667117264,0.4454168185277863,SUPPORTED,0.4454168185277863,True
1,acr_episode027_independent_stochastic_retry,27,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,0.014834599655257628,0.0,True,0.014834599655257628,0.5985796662210642,SUPPORTED,0.22718884593878313,False
1,acr_episode029_bounded_planar_compensation,29,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,0.10082792873715415,0.15147334449116379,True,0.05064541575400963,0.43579685397760415,SUPPORTED,0.43579685397760415,True
