experiment_run_id,manifest_id,episode_id,seed,memory_action,memory_reason,selected_skill,selected_verification_status,selected_accepted,alternative_skill_evaluator_only,alternative_accepted_evaluator_only,wrong_memory_application_evaluator_only,nearest_distance,coverage_radius,retrieved_record_ids,unguarded_nearest_skill,unguarded_nearest_status_evaluator_only,always_retry_status_evaluator_only,always_compensation_status_evaluator_only,outcome_partition_evaluator_only,memory_decision_ms
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,1,980,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,1.0853018707283177,1.5632410401951347,verified_intervention_episode_0007|verified_intervention_episode_0028|verified_intervention_episode_0027,INDEPENDENT_STOCHASTIC_RETRY,INCONCLUSIVE,INCONCLUSIVE,ACCEPTED,COMPENSATION_ONLY_RECOVERY,0.1702
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,3,982,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,0.6979825530940713,1.5632410401951347,verified_intervention_episode_0028|verified_intervention_episode_0023|verified_intervention_episode_0027,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,REJECTED,INCONCLUSIVE,NEITHER_RECOVERS,0.157
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,12,991,ABSTAIN,OUTSIDE_VERIFIED_COVERAGE,,,False,,False,False,1.6732115779710628,1.5632410401951347,verified_intervention_episode_0007|verified_intervention_episode_0014|verified_intervention_episode_0028,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,REJECTED,NEITHER_RECOVERS,0.1586
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,16,995,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,1.5573686860381826,1.5632410401951347,verified_intervention_episode_0049|verified_intervention_episode_0028|verified_intervention_episode_0053,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,ACCEPTED,ACCEPTED,BOTH_RECOVER,0.1613
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,23,1002,USE_VERIFIED_EPISODE,WITHIN_COVERAGE_WITH_UNANIMOUS_SUPPORT,INDEPENDENT_STOCHASTIC_RETRY,INCONCLUSIVE,False,BOUNDED_PLANAR_COMPENSATION,True,True,1.081425024253423,1.5632410401951347,verified_intervention_episode_0015|verified_intervention_episode_0029|verified_intervention_episode_0049,INDEPENDENT_STOCHASTIC_RETRY,INCONCLUSIVE,INCONCLUSIVE,ACCEPTED,COMPENSATION_ONLY_RECOVERY,0.1694
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,26,1005,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,0.8059834461930053,1.5632410401951347,verified_intervention_episode_0027|verified_intervention_episode_0042|verified_intervention_episode_0029,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,ACCEPTED,INCONCLUSIVE,RETRY_ONLY_RECOVERY,0.1645
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,27,1006,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,0.7156671634768839,1.5632410401951347,verified_intervention_episode_0028|verified_intervention_episode_0053|verified_intervention_episode_0015,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,ACCEPTED,BOTH_RECOVER,0.1564
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,29,1008,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,0.5212100972852985,1.5632410401951347,verified_intervention_episode_0028|verified_intervention_episode_0029|verified_intervention_episode_0027,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,ACCEPTED,ACCEPTED,BOTH_RECOVER,0.1731
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,32,1011,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,0.9419418459531614,1.5632410401951347,verified_intervention_episode_0053|verified_intervention_episode_0028|verified_intervention_episode_0015,BOUNDED_PLANAR_COMPENSATION,REJECTED,ACCEPTED,REJECTED,RETRY_ONLY_RECOVERY,0.1765
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,33,1012,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,0.8217158927331004,1.5632410401951347,verified_intervention_episode_0051|verified_intervention_episode_0028|verified_intervention_episode_0023,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,ACCEPTED,ACCEPTED,BOTH_RECOVER,0.1625
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,34,1013,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,1.2421844770007437,1.5632410401951347,verified_intervention_episode_0042|verified_intervention_episode_0023|verified_intervention_episode_0027,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,REJECTED,INCONCLUSIVE,NEITHER_RECOVERS,0.1596
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,37,1016,ABSTAIN,OUTSIDE_VERIFIED_COVERAGE,,,False,,False,False,1.7598630584370534,1.5632410401951347,verified_intervention_episode_0029|verified_intervention_episode_0027|verified_intervention_episode_0042,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,ACCEPTED,INCONCLUSIVE,RETRY_ONLY_RECOVERY,0.1564
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,41,1020,ABSTAIN,OUTSIDE_VERIFIED_COVERAGE,,,False,,False,False,1.9943359398107312,1.5632410401951347,verified_intervention_episode_0014|verified_intervention_episode_0056|verified_intervention_episode_0028,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,ACCEPTED,REJECTED,RETRY_ONLY_RECOVERY,0.1635
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,42,1021,USE_VERIFIED_EPISODE,WITHIN_COVERAGE_WITH_UNANIMOUS_SUPPORT,BOUNDED_PLANAR_COMPENSATION,REJECTED,False,INDEPENDENT_STOCHASTIC_RETRY,True,True,1.1271669463274394,1.5632410401951347,verified_intervention_episode_0028|verified_intervention_episode_0053|verified_intervention_episode_0023,BOUNDED_PLANAR_COMPENSATION,REJECTED,ACCEPTED,REJECTED,RETRY_ONLY_RECOVERY,0.1564
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,46,1025,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,1.4377465473642301,1.5632410401951347,verified_intervention_episode_0007|verified_intervention_episode_0028|verified_intervention_episode_0027,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,ACCEPTED,ACCEPTED,BOTH_RECOVER,0.1599
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,49,1028,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,1.4363775851515002,1.5632410401951347,verified_intervention_episode_0007|verified_intervention_episode_0027|verified_intervention_episode_0028,INDEPENDENT_STOCHASTIC_RETRY,INCONCLUSIVE,INCONCLUSIVE,REJECTED,NEITHER_RECOVERS,0.1566
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,50,1029,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,0.7067019950422807,1.5632410401951347,verified_intervention_episode_0027|verified_intervention_episode_0042|verified_intervention_episode_0017,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,ACCEPTED,INCONCLUSIVE,RETRY_ONLY_RECOVERY,0.1626
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,53,1032,ABSTAIN,OUTSIDE_VERIFIED_COVERAGE,,,False,,False,False,1.761850445552737,1.5632410401951347,verified_intervention_episode_0007|verified_intervention_episode_0042|verified_intervention_episode_0051,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,REJECTED,NEITHER_RECOVERS,0.1555
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,60,1039,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,1.0247775432537753,1.5632410401951347,verified_intervention_episode_0007|verified_intervention_episode_0028|verified_intervention_episode_0027,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,REJECTED,ACCEPTED,COMPENSATION_ONLY_RECOVERY,0.1616
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,61,1040,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,,,False,,False,False,1.5141438356948285,1.5632410401951347,verified_intervention_episode_0028|verified_intervention_episode_0053|verified_intervention_episode_0049,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,ACCEPTED,INCONCLUSIVE,RETRY_ONLY_RECOVERY,0.1547
