experiment_run_id,manifest_id,episode_id,seed,memory_action,memory_reason,nearest_distance,coverage_radius,radius_ratio,neighbor_record_ids,neighbor_skills,neighbor_distances,retry_neighbor_count,compensation_neighbor_count,nearest_top_feature,nearest_top_feature_share,nearest_second_feature,nearest_second_feature_share,implicit_prediction,selected_skill,fresh_observed_status,prediction_resonance,outcome_partition_evaluator_only,unguarded_nearest_skill_evaluator_only,unguarded_nearest_status_evaluator_only
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,1,980,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,1.0853018707283177,1.5632410401951347,0.6942639316793031,verified_intervention_episode_0007|verified_intervention_episode_0028|verified_intervention_episode_0027,INDEPENDENT_STOCHASTIC_RETRY|BOUNDED_PLANAR_COMPENSATION|INDEPENDENT_STOCHASTIC_RETRY,1.085301871|1.353566267|1.392280627,2,1,probe_estimated_bias_x,0.25360272557197405,progress_to_goal,0.19551414364064065,,,,NOT_EVALUATED,COMPENSATION_ONLY_RECOVERY,INDEPENDENT_STOCHASTIC_RETRY,INCONCLUSIVE
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,3,982,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,0.6979825530940713,1.5632410401951347,0.4464970757209293,verified_intervention_episode_0028|verified_intervention_episode_0023|verified_intervention_episode_0027,BOUNDED_PLANAR_COMPENSATION|BOUNDED_PLANAR_COMPENSATION|INDEPENDENT_STOCHASTIC_RETRY,0.697982553|0.759559206|0.764791455,1,2,estimated_drift_x,0.32604101106252553,probe_mean_estimation_residual,0.22775264377150867,,,,NOT_EVALUATED,NEITHER_RECOVERS,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,12,991,ABSTAIN,OUTSIDE_VERIFIED_COVERAGE,1.6732115779710628,1.5632410401951347,1.070347780635417,verified_intervention_episode_0007|verified_intervention_episode_0014|verified_intervention_episode_0028,INDEPENDENT_STOCHASTIC_RETRY|INDEPENDENT_STOCHASTIC_RETRY|BOUNDED_PLANAR_COMPENSATION,1.673211578|1.798955226|1.971968962,2,1,probe_dominant_axis_sign_agreement,0.3869549299679244,normalized_residual_norm,0.17347873554988505,,,,NOT_EVALUATED,NEITHER_RECOVERS,INDEPENDENT_STOCHASTIC_RETRY,REJECTED
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,16,995,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,1.5573686860381826,1.5632410401951347,0.9962434749306357,verified_intervention_episode_0049|verified_intervention_episode_0028|verified_intervention_episode_0053,INDEPENDENT_STOCHASTIC_RETRY|BOUNDED_PLANAR_COMPENSATION|BOUNDED_PLANAR_COMPENSATION,1.557368686|1.591156159|1.601753884,1,2,probe_estimated_bias_std_norm,0.509358997704988,final_object_goal_distance,0.15687680138219579,,,,NOT_EVALUATED,BOTH_RECOVER,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,23,1002,USE_VERIFIED_EPISODE,WITHIN_COVERAGE_WITH_UNANIMOUS_SUPPORT,1.081425024253423,1.5632410401951347,0.6917839261170061,verified_intervention_episode_0015|verified_intervention_episode_0029|verified_intervention_episode_0049,INDEPENDENT_STOCHASTIC_RETRY|INDEPENDENT_STOCHASTIC_RETRY|INDEPENDENT_STOCHASTIC_RETRY,1.081425024|1.151070558|1.295469990,3,0,estimated_drift_x,0.46977363755733165,final_object_goal_distance,0.18388747870779848,ACCEPTED,INDEPENDENT_STOCHASTIC_RETRY,INCONCLUSIVE,UNRESOLVED,COMPENSATION_ONLY_RECOVERY,INDEPENDENT_STOCHASTIC_RETRY,INCONCLUSIVE
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,26,1005,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,0.8059834461930053,1.5632410401951347,0.515584881326041,verified_intervention_episode_0027|verified_intervention_episode_0042|verified_intervention_episode_0029,INDEPENDENT_STOCHASTIC_RETRY|BOUNDED_PLANAR_COMPENSATION|INDEPENDENT_STOCHASTIC_RETRY,0.805983446|0.961426884|0.999699409,2,1,final_object_goal_distance,0.2092761391058577,estimated_drift_y,0.18868774527794233,,,,NOT_EVALUATED,RETRY_ONLY_RECOVERY,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,27,1006,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,0.7156671634768839,1.5632410401951347,0.4578098610995712,verified_intervention_episode_0028|verified_intervention_episode_0053|verified_intervention_episode_0015,BOUNDED_PLANAR_COMPENSATION|BOUNDED_PLANAR_COMPENSATION|INDEPENDENT_STOCHASTIC_RETRY,0.715667163|0.966785829|0.993457644,1,2,probe_estimated_bias_y,0.28693117696303755,probe_estimated_bias_x,0.28369000715766673,,,,NOT_EVALUATED,BOTH_RECOVER,BOUNDED_PLANAR_COMPENSATION,ACCEPTED
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,29,1008,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,0.5212100972852985,1.5632410401951347,0.3334163343231044,verified_intervention_episode_0028|verified_intervention_episode_0029|verified_intervention_episode_0027,BOUNDED_PLANAR_COMPENSATION|INDEPENDENT_STOCHASTIC_RETRY|INDEPENDENT_STOCHASTIC_RETRY,0.521210097|0.690574237|0.787003295,2,1,probe_estimated_bias_std_norm,0.534882430325914,probe_relative_bias_std,0.15101477600669136,,,,NOT_EVALUATED,BOTH_RECOVER,BOUNDED_PLANAR_COMPENSATION,ACCEPTED
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,32,1011,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,0.9419418459531614,1.5632410401951347,0.6025570092732351,verified_intervention_episode_0053|verified_intervention_episode_0028|verified_intervention_episode_0015,BOUNDED_PLANAR_COMPENSATION|BOUNDED_PLANAR_COMPENSATION|INDEPENDENT_STOCHASTIC_RETRY,0.941941846|1.026124021|1.116687321,1,2,estimated_drift_x,0.3190344957789701,probe_estimated_bias_y,0.1437849001044124,,,,NOT_EVALUATED,RETRY_ONLY_RECOVERY,BOUNDED_PLANAR_COMPENSATION,REJECTED
probemem_paired_utility_20260731T184353Z_cca94dad8cbe,12a47860c1b8f6b95858be5cf3d5b9e0b50ccdef017fd41102b445b40a63f9e9,33,1012,ABSTAIN,CONFLICTING_VERIFIED_EPISODES,0.8217158927331004,1.5632410401951347,0.5256488741048713,verified_intervention_episode_0051|verified_intervention_episode_0028|verified_intervention_episode_0023,INDEPENDENT_STOCHASTIC_RETRY|BOUNDED_PLANAR_COMPENSATION|BOUNDED_PLANAR_COMPENSATION,0.821715893|1.078850345|1.105426714,1,2,estimated_drift_y,0.494642338636538,probe_estimated_bias_x,0.2758262433919471,,,,NOT_EVALUATED,BOTH_RECOVER,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED
