experiment_run_id,manifest_id,source_git_commit,episode_id,seed,condition_id_oracle,initial_success,initial_steps,initial_final_object_goal_distance,probe_steps,eligible_state,ineligibility_reason,eligible_state_index,realizations,evaluator_collection_steps,realization_index,first_verification_seed,first_verification_status,first_verification_steps,first_final_object_goal_distance,first_observed_progress,paired_second_executed,paired_second_verification_seed
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,4,3303,fault_05,False,500,0.21757707930315592,64,True,,1,0,500,1,3748948853,ACCEPTED,62,0.04756779322296738,0.17000928608018856,False,3345996668
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,4,3303,fault_05,False,500,0.21757707930315592,64,True,,1,0,500,2,2888483139,REJECTED,500,0.2692776309934933,-0.051700551690337354,True,3195604000
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,4,3303,fault_05,False,500,0.21757707930315592,64,True,,1,0,500,3,1014654890,REJECTED,500,0.30827192622213223,-0.09069484691897631,True,2637871945
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,4,3303,fault_05,False,500,0.21757707930315592,64,True,,1,0,500,4,4174549929,REJECTED,500,0.2205664740287557,-0.002989394725599781,True,2989241517
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,8,3307,fault_05,False,500,0.25096569002910446,64,True,,2,0,500,1,3317722806,INCONCLUSIVE,500,0.2013231518846882,0.04964253814441627,True,3387131987
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,8,3307,fault_05,False,500,0.25096569002910446,64,True,,2,0,500,2,1702363458,ACCEPTED,79,0.04852206363494297,0.2024436263941615,False,912182969
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,8,3307,fault_05,False,500,0.25096569002910446,64,True,,2,0,500,3,2480191695,ACCEPTED,104,0.04943511284016388,0.20153057718894057,False,3202457425
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,8,3307,fault_05,False,500,0.25096569002910446,64,True,,2,0,500,4,1273773917,INCONCLUSIVE,500,0.1374763291563948,0.11348936087270967,True,4158793894
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,10,3309,fault_05,False,500,0.20012466989208524,64,True,,3,0,500,1,1529634698,REJECTED,500,0.2730413354499275,-0.07291666555784224,True,1536842883
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,10,3309,fault_05,False,500,0.20012466989208524,64,True,,3,0,500,2,451097129,ACCEPTED,115,0.046640869337002455,0.1534838005550828,False,3425944938
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,10,3309,fault_05,False,500,0.20012466989208524,64,True,,3,0,500,3,1270348533,ACCEPTED,101,0.04866868982641764,0.1514559800656676,False,1370338265
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,10,3309,fault_05,False,500,0.20012466989208524,64,True,,3,0,500,4,2744455849,ACCEPTED,123,0.04780627808455166,0.1523183918075336,False,21915415
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,11,3310,fault_05,False,500,0.16934419418464974,64,True,,4,0,500,1,1207487222,INCONCLUSIVE,500,0.10154499625042389,0.06779919793422585,True,3788967881
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,11,3310,fault_05,False,500,0.16934419418464974,64,True,,4,0,500,2,1151976600,REJECTED,500,0.2827973522906397,-0.11345315810598994,True,2185057840
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,11,3310,fault_05,False,500,0.16934419418464974,64,True,,4,0,500,3,2163399887,ACCEPTED,127,0.04925908749136164,0.1200851066932881,False,4227414318
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,11,3310,fault_05,False,500,0.16934419418464974,64,True,,4,0,500,4,557845823,ACCEPTED,91,0.04783735925399433,0.12150683493065542,False,3183921159
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,19,3318,fault_05,False,500,0.27890642387472986,64,True,,5,0,500,1,725327569,ACCEPTED,72,0.04869964715914118,0.23020677671558867,False,2284601596
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,19,3318,fault_05,False,500,0.27890642387472986,64,True,,5,0,500,2,1127177968,ACCEPTED,177,0.04968557827507188,0.22922084559965797,False,666663884
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,19,3318,fault_05,False,500,0.27890642387472986,64,True,,5,0,500,3,1314652910,REJECTED,500,0.4215126073291703,-0.14260618345444043,True,3002349496
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,19,3318,fault_05,False,500,0.27890642387472986,64,True,,5,0,500,4,3651311018,ACCEPTED,161,0.04705244590251925,0.2318539779722106,False,2568558143
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,27,3326,fault_05,False,500,0.07969483003067256,64,True,,6,0,500,1,696724643,ACCEPTED,367,0.04931653185787408,0.030378298172798475,False,3508802801
