experiment_run_id,manifest_id,source_git_commit,episode_id,seed,condition_id_oracle,initial_success,initial_steps,initial_final_object_goal_distance,probe_steps,eligible_state,ineligibility_reason,eligible_state_index,realizations,evaluator_collection_steps,realization_index,first_verification_seed,first_verification_status,first_verification_steps,first_final_object_goal_distance,first_observed_progress,paired_second_executed,paired_second_verification_seed,candidate_id,verification_status,verification_steps,final_object_goal_distance,observed_progress,outcome_timestamp_ns
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,4,3303,fault_05,False,500,0.21757707930315592,64,True,,1,0,500,2,2888483139,REJECTED,500,0.2692776309934933,-0.051700551690337354,True,3195604000,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,80,0.04878237781813438,0.16879470148502154,214086513953000
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,4,3303,fault_05,False,500,0.21757707930315592,64,True,,1,0,500,2,2888483139,REJECTED,500,0.2692776309934933,-0.051700551690337354,True,3195604000,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,71,0.049825469059921114,0.16775161024323482,214087743834700
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,4,3303,fault_05,False,500,0.21757707930315592,64,True,,1,0,500,3,1014654890,REJECTED,500,0.30827192622213223,-0.09069484691897631,True,2637871945,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,230,0.04833874713679847,0.16923833216635745,214090750989800
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,4,3303,fault_05,False,500,0.21757707930315592,64,True,,1,0,500,3,1014654890,REJECTED,500,0.30827192622213223,-0.09069484691897631,True,2637871945,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,200,0.04864207183866941,0.16893500746448653,214092050706000
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,4,3303,fault_05,False,500,0.21757707930315592,64,True,,1,0,500,4,4174549929,REJECTED,500,0.2205664740287557,-0.002989394725599781,True,2989241517,BOUNDED_PLANAR_COMPENSATION,INCONCLUSIVE,500,0.17869248214949024,0.038884597153665684,214095330275400
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,4,3303,fault_05,False,500,0.21757707930315592,64,True,,1,0,500,4,4174549929,REJECTED,500,0.2205664740287557,-0.002989394725599781,True,2989241517,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,500,0.3839813641410655,-0.16640428483790956,214096945878900
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,8,3307,fault_05,False,500,0.25096569002910446,64,True,,2,0,500,1,3317722806,INCONCLUSIVE,500,0.2013231518846882,0.04964253814441627,True,3387131987,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,182,0.04959533631389373,0.20137035371521073,214106859578700
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,8,3307,fault_05,False,500,0.25096569002910446,64,True,,2,0,500,1,3317722806,INCONCLUSIVE,500,0.2013231518846882,0.04964253814441627,True,3387131987,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,500,0.36705232261632786,-0.1160866325872234,214108498448500
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,8,3307,fault_05,False,500,0.25096569002910446,64,True,,2,0,500,4,1273773917,INCONCLUSIVE,500,0.1374763291563948,0.11348936087270967,True,4158793894,BOUNDED_PLANAR_COMPENSATION,REJECTED,500,0.4766308246010071,-0.22566513457190263,214114120382500
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,8,3307,fault_05,False,500,0.25096569002910446,64,True,,2,0,500,4,1273773917,INCONCLUSIVE,500,0.1374763291563948,0.11348936087270967,True,4158793894,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,121,0.04980302895231615,0.20116266107678832,214115299649000
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,10,3309,fault_05,False,500,0.20012466989208524,64,True,,3,0,500,1,1529634698,REJECTED,500,0.2730413354499275,-0.07291666555784224,True,1536842883,BOUNDED_PLANAR_COMPENSATION,REJECTED,500,0.26555029512662837,-0.06542562523454312,214123022031900
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,10,3309,fault_05,False,500,0.20012466989208524,64,True,,3,0,500,1,1529634698,REJECTED,500,0.2730413354499275,-0.07291666555784224,True,1536842883,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,171,0.04806339350105182,0.15206127639103342,214124282695200
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,11,3310,fault_05,False,500,0.16934419418464974,64,True,,4,0,500,1,1207487222,INCONCLUSIVE,500,0.10154499625042389,0.06779919793422585,True,3788967881,BOUNDED_PLANAR_COMPENSATION,REJECTED,500,0.24588947424675633,-0.07654528006210659,214134403961300
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,11,3310,fault_05,False,500,0.16934419418464974,64,True,,4,0,500,1,1207487222,INCONCLUSIVE,500,0.10154499625042389,0.06779919793422585,True,3788967881,INDEPENDENT_STOCHASTIC_RETRY,REJECTED,500,0.378503551977974,-0.20915935779332423,214135949257800
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,11,3310,fault_05,False,500,0.16934419418464974,64,True,,4,0,500,2,1151976600,REJECTED,500,0.2827973522906397,-0.11345315810598994,True,2185057840,BOUNDED_PLANAR_COMPENSATION,REJECTED,500,0.25770349795455844,-0.08835930376990869,214139351873000
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,11,3310,fault_05,False,500,0.16934419418464974,64,True,,4,0,500,2,1151976600,REJECTED,500,0.2827973522906397,-0.11345315810598994,True,2185057840,INDEPENDENT_STOCHASTIC_RETRY,ACCEPTED,150,0.04887428052089694,0.1204699136637528,214140594528000
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,dc82fef58e2693c0c91ed23a9147964d4177492b,19,3318,fault_05,False,500,0.27890642387472986,64,True,,5,0,500,3,1314652910,REJECTED,500,0.4215126073291703,-0.14260618345444043,True,3002349496,BOUNDED_PLANAR_COMPENSATION,ACCEPTED,167,0.049867126606341655,0.2290392972683882,214160723629000
