source_run_id,source_manifest_id,episode_id,realization_index,seed,first_verification_status,first_observed_progress,first_final_object_goal_distance,paired_retry_status_evaluator_only,paired_retry_accepted_evaluator_only
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,4,2,3303,REJECTED,-0.051700551690337354,0.2692776309934933,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,4,3,3303,REJECTED,-0.09069484691897631,0.30827192622213223,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,4,4,3303,REJECTED,-0.002989394725599781,0.2205664740287557,REJECTED,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,8,1,3307,INCONCLUSIVE,0.04964253814441627,0.2013231518846882,REJECTED,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,8,4,3307,INCONCLUSIVE,0.11348936087270967,0.1374763291563948,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,10,1,3309,REJECTED,-0.07291666555784224,0.2730413354499275,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,11,1,3310,INCONCLUSIVE,0.06779919793422585,0.10154499625042389,REJECTED,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,11,2,3310,REJECTED,-0.11345315810598994,0.2827973522906397,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,19,3,3318,REJECTED,-0.14260618345444043,0.4215126073291703,INCONCLUSIVE,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,27,2,3326,REJECTED,-0.24227320664719393,0.3219680366778665,REJECTED,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,34,1,3333,REJECTED,-0.1068307284707323,0.2984849722483906,INCONCLUSIVE,False
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,34,4,3333,REJECTED,-0.04978927602357955,0.24144351980123785,ACCEPTED,True
acr_feedback_sufficiency_20260803T031147Z_dc82fef58e26,e7ee616e070af571479838f8719be1ff0e6da0e348026d463035e709af4e237a,35,1,3334,REJECTED,-0.04084661802854536,0.2749206229903955,REJECTED,False
