experiment_run_id,manifest_id,source_git_commit,episode_id,seed,condition_id_oracle,initial_success,initial_steps,initial_final_object_goal_distance,probe_steps,eligible_first_attempt,first_verification_status,first_verification_steps,first_final_object_goal_distance,first_observed_progress,second_decision_required,second_decision_index,ineligibility_reason,online_steps_before_optional_second,candidate_id,paired_second_verification_seed,verification_status,verification_steps,final_object_goal_distance,observed_progress
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,10,3509,fault_05,False,500,0.31720871621851565,64,True,INCONCLUSIVE,500,0.24688264907274096,0.07032606714577469,True,1,,1064,BOUNDED_PLANAR_COMPENSATION,1091013323,INCONCLUSIVE,500,0.3136947715523826,0.0035139446661330287
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,10,3509,fault_05,False,500,0.31720871621851565,64,True,INCONCLUSIVE,500,0.24688264907274096,0.07032606714577469,True,1,,1064,INDEPENDENT_STOCHASTIC_RETRY,1091013323,ACCEPTED,64,0.04690076787396212,0.2703079483445535
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,14,3513,fault_05,False,500,0.2640805161021645,64,True,REJECTED,500,0.26828249271174714,-0.004201976609582658,True,2,,1064,BOUNDED_PLANAR_COMPENSATION,2529674373,REJECTED,500,0.2697076038748748,-0.005627087772710315
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,14,3513,fault_05,False,500,0.2640805161021645,64,True,REJECTED,500,0.26828249271174714,-0.004201976609582658,True,2,,1064,INDEPENDENT_STOCHASTIC_RETRY,2529674373,INCONCLUSIVE,500,0.2567979158743281,0.007282600227836389
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,22,3521,fault_05,False,500,0.3019180148540481,64,True,INCONCLUSIVE,500,0.23219138680349535,0.06972662805055277,True,3,,1064,BOUNDED_PLANAR_COMPENSATION,1053182874,INCONCLUSIVE,500,0.25990888192685213,0.04200913292719599
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,22,3521,fault_05,False,500,0.3019180148540481,64,True,INCONCLUSIVE,500,0.23219138680349535,0.06972662805055277,True,3,,1064,INDEPENDENT_STOCHASTIC_RETRY,1053182874,ACCEPTED,70,0.047750058555451974,0.2541679562985961
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,33,3532,fault_05,False,500,0.28719991357585245,64,True,INCONCLUSIVE,500,0.24267925647188457,0.04452065710396788,True,4,,1064,BOUNDED_PLANAR_COMPENSATION,1841178211,ACCEPTED,142,0.048694359006596806,0.23850555456925565
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,33,3532,fault_05,False,500,0.28719991357585245,64,True,INCONCLUSIVE,500,0.24267925647188457,0.04452065710396788,True,4,,1064,INDEPENDENT_STOCHASTIC_RETRY,1841178211,ACCEPTED,66,0.0495294064234704,0.23767050715238205
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,34,3533,fault_05,False,500,0.3628153688872668,64,True,INCONCLUSIVE,500,0.34070714360135135,0.02210822528591544,True,5,,1064,BOUNDED_PLANAR_COMPENSATION,3755851433,ACCEPTED,160,0.04865382328129721,0.3141615456059696
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,fdff57ab321bbf4edc5f8ed6e17bcd8a83c4c17a,34,3533,fault_05,False,500,0.3628153688872668,64,True,INCONCLUSIVE,500,0.34070714360135135,0.02210822528591544,True,5,,1064,INDEPENDENT_STOCHASTIC_RETRY,3755851433,ACCEPTED,158,0.04738798326633528,0.31542738562093153
