score_name,threshold,retry_requests,retry_request_rate,recovered_cases,recovery_rate_over_population,unnecessary_retries,missed_recoveries,additional_environment_steps,recoveries_per_100_additional_steps,source_run_id,source_manifest_id
first_observed_progress,inf,0,0.0,0,0.0,0,19,0,,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,0.22745079248934075,1,0.03333333333333333,1,0.03333333333333333,0,18,81,1.2345679012345678,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,0.2241126271416092,2,0.06666666666666667,1,0.03333333333333333,1,18,581,0.1721170395869191,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,0.11322205824133402,3,0.1,1,0.03333333333333333,2,18,1081,0.09250693802035152,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,0.07032606714577469,4,0.13333333333333333,2,0.06666666666666667,2,17,1145,0.17467248908296942,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,0.06972662805055277,5,0.16666666666666666,3,0.1,2,16,1215,0.24691358024691357,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,0.05506922222939342,6,0.2,3,0.1,3,16,1715,0.1749271137026239,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,0.04452065710396788,7,0.23333333333333334,4,0.13333333333333333,3,15,1781,0.22459292532285233,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,0.03583436706342319,8,0.26666666666666666,4,0.13333333333333333,4,15,2281,0.17536168347216133,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,0.022774142694136912,9,0.3,5,0.16666666666666666,4,14,2350,0.2127659574468085,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,0.02210822528591544,10,0.3333333333333333,6,0.2,4,13,2508,0.23923444976076555,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,0.009348522957196848,11,0.36666666666666664,6,0.2,5,13,3008,0.19946808510638298,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,0.003695512233804682,12,0.4,7,0.23333333333333334,5,12,3089,0.22661055357720944,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,-7.16725419236397e-07,13,0.43333333333333335,8,0.26666666666666666,5,11,3254,0.24585125998770743,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,-0.004201976609582658,14,0.4666666666666667,8,0.26666666666666666,6,11,3754,0.21310602024507191,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,-0.007265775867441648,15,0.5,9,0.3,6,10,3904,0.2305327868852459,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
first_observed_progress,-0.009892262686744119,16,0.5333333333333333,10,0.3333333333333333,6,9,4011,0.2493143854400399,acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856
