source_run_id,source_manifest_id,episode_id,seed,first_verification_status,first_observed_progress,first_final_object_goal_distance,paired_retry_status_evaluator_only,paired_retry_accepted_evaluator_only,paired_retry_steps_evaluator_only
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,10,3509,INCONCLUSIVE,0.07032606714577469,0.24688264907274096,ACCEPTED,True,64
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,14,3513,REJECTED,-0.004201976609582658,0.26828249271174714,INCONCLUSIVE,False,500
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,22,3521,INCONCLUSIVE,0.06972662805055277,0.23219138680349535,ACCEPTED,True,70
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,33,3532,INCONCLUSIVE,0.04452065710396788,0.24267925647188457,ACCEPTED,True,66
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,34,3533,INCONCLUSIVE,0.02210822528591544,0.34070714360135135,ACCEPTED,True,158
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,35,3534,REJECTED,-0.018932000089562084,0.2293746113725,INCONCLUSIVE,False,500
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,40,3539,REJECTED,-0.018272510814530407,0.1391338384080734,ACCEPTED,True,143
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,44,3543,REJECTED,-0.02198081198638807,0.2411265560280435,REJECTED,False,500
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,49,3548,REJECTED,-0.07400630653351145,0.24560707662400902,ACCEPTED,True,175
acr_continuous_feedback_20260803T033027Z_fdff57ab321b,4bca2c97898ef8f36e3fc100cf5df19fe37808f9da44de5205b17a09d3d9e856,56,3555,INCONCLUSIVE,0.2241126271416092,0.2183736784319111,INCONCLUSIVE,False,500
