schema_version,episode_id,seed,success,steps,episode_return,elapsed_time_ms,clipped_step_count,clipped_step_fraction,clipped_element_count,clipped_element_fraction,final_object_goal_distance,min_gripper_object_distance,object_displacement,progress_to_goal,trajectory_path
2,1,100,True,63,196.04648523684057,99.2421000264585,25,0.3968253968253968,25,0.0992063492063492,0.046867155777734405,0.03393207728199451,0.13845290617266434,0.13456471492736785,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\day2_5\baseline_trajectories\episode_001_seed_100.jsonl
2,2,101,True,63,192.30939421225133,87.69800001755357,30,0.47619047619047616,30,0.11904761904761904,0.04992218155349268,0.03277775228783162,0.15509966621818647,0.15193607039043197,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\day2_5\baseline_trajectories\episode_002_seed_101.jsonl
2,3,102,True,54,138.69793980503897,117.67860013060272,22,0.4074074074074074,22,0.10185185185185185,0.04969699329852493,0.03289581887860378,0.13123554817735536,0.12954848615010345,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\day2_5\baseline_trajectories\episode_003_seed_102.jsonl
2,4,103,True,67,229.33998583751185,75.59879985637963,30,0.44776119402985076,30,0.11194029850746269,0.04838166432999942,0.0338473449210229,0.18711873976906698,0.1802406539032415,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\day2_5\baseline_trajectories\episode_004_seed_103.jsonl
2,5,104,True,58,166.16031926596457,68.46260000020266,23,0.39655172413793105,23,0.09913793103448276,0.049453731629043846,0.033329077657466004,0.1182708109185832,0.11653505209418716,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\day2_5\baseline_trajectories\episode_005_seed_104.jsonl
2,6,105,True,61,183.3789010859564,74.5095000602305,27,0.4426229508196721,27,0.11065573770491803,0.046271979552434186,0.03137760720968535,0.15222565787993964,0.15066075351131242,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\day2_5\baseline_trajectories\episode_006_seed_105.jsonl
2,7,106,True,63,200.31935118372616,91.26929985359311,27,0.42857142857142855,27,0.10714285714285714,0.04684965382778841,0.03383005795580234,0.15378519622347353,0.15026574033400564,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\day2_5\baseline_trajectories\episode_007_seed_106.jsonl
2,8,107,True,67,234.20405948721253,85.49379999749362,31,0.4626865671641791,31,0.11567164179104478,0.04865580923973704,0.03317434683635769,0.18416047781615227,0.17762836488028128,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\day2_5\baseline_trajectories\episode_008_seed_107.jsonl
2,9,108,True,63,183.46765937010505,75.24669985286891,30,0.47619047619047616,40,0.15873015873015872,0.048692272599260435,0.03141171492709773,0.2296587801694716,0.22541101015802903,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\day2_5\baseline_trajectories\episode_009_seed_108.jsonl
2,10,109,True,62,210.37212824984138,72.5814001634717,29,0.46774193548387094,29,0.11693548387096774,0.0459844435869642,0.031932363082954954,0.18529009384358114,0.18257361979680126,C:\Users\Administrator\Desktop\embodied-agent-projects\outputs\day2_5\baseline_trajectories\episode_010_seed_109.jsonl
